Name,Beds,Baths,Price:,Deposit,Waitlist,Available Units,Size (sq feet),Link,Apartment,Image
28th - 3 Bed - 3 Bath A,3,3,"$1,014 - $1,044",0,0,9,"1,236",https://www.theblockwestcampus.com//Brochure/28th---3-Bed---3-Bath-A?siteId=6511284&fId=9218415,block_on_pearl,https://capi.myleasestar.com/v2/dimg/67759899/640x640/67759899.png
Rio - 2 Bed - 2 Bath E2,2,2,"$1,014 - $1,054",0,0,14,"1,000",https://www.theblockwestcampus.com//Brochure/Rio---2-Bed---2-Bath-E2?siteId=6511284&fId=9218536,block_on_pearl,https://capi.myleasestar.com/v2/dimg/67760989/640x640/67760989.png
Pearl S - 2 Bed - 2 Bath C,2,2,"$1,019 - $1,096",0,0,9,856 - 886,https://www.theblockwestcampus.com//Brochure/Pearl-S---2-Bed---2-Bath-C?siteId=6511284&fId=9218523,block_on_pearl,https://capi.myleasestar.com/v2/dimg/67760965/640x640/67760965.png
23rd - 2 Bed - 2 Bath E2,2,2,"$1,024 - $1,134",0,0,16,926 - 994,https://www.theblockwestcampus.com//Brochure/23rd---2-Bed---2-Bath-E2?siteId=6511284&fId=9218390,block_on_pearl,https://capi.myleasestar.com/v2/dimg/67759509/640x640/67759509.png
Pearl N - 2 Bed - 2 Bath C,2,2,"$1,024 - $1,109",0,0,4,856 - 886,https://www.theblockwestcampus.com//Brochure/Pearl-N---2-Bed---2-Bath-C?siteId=6511284&fId=9218507,block_on_pearl,https://capi.myleasestar.com/v2/dimg/67760888/640x640/67760888.png
Pearl N - 3 Bed - 3 Bath A,3,3,"$1,039",0,0,2,"1,236",https://www.theblockwestcampus.com//Brochure/Pearl-N---3-Bed---3-Bath-A?siteId=6511284&fId=9218509,block_on_pearl,https://capi.myleasestar.com/v2/dimg/67760890/640x640/67760890.png
Pearl S - 3 Bed - 3 Bath A,3,3,"$1,039",0,0,1,"1,236",https://www.theblockwestcampus.com//Brochure/Pearl-S---3-Bed---3-Bath-A?siteId=6511284&fId=9218525,block_on_pearl,https://capi.myleasestar.com/v2/dimg/67760967/640x640/67760967.png
Pearl N - 2 Bed - 2 Bath A,2,2,"$1,054 - $1,119",0,0,2,902 - 914,https://www.theblockwestcampus.com//Brochure/Pearl-N---2-Bed---2-Bath-A?siteId=6511284&fId=9218501,block_on_pearl,https://capi.myleasestar.com/v2/dimg/67760849/640x640/67760849.png
23rd - 3 Bed - 3 Bath A,3,3,"$1,059",0,0,1,"1,208",https://www.theblockwestcampus.com//Brochure/23rd---3-Bed---3-Bath-A?siteId=6511284&fId=9218395,block_on_pearl,https://capi.myleasestar.com/v2/dimg/67759599/640x640/67759599.png
Leon - 2 Bed - 2 Bath B Loft,2,2,"$1,139 - $1,154",0,0,2,"1,192 - 1,204",https://www.theblockwestcampus.com//Brochure/Leon---2-Bed---2-Bath-B-Loft?siteId=6511284&fId=9218486,block_on_pearl,https://capi.myleasestar.com/v2/dimg/67760644/640x640/67760644.png
Pearl S - 2 Bed - 2 Bath A,2,2,"$1,084",0,0,1,902 - 914,https://www.theblockwestcampus.com//Brochure/Pearl-S---2-Bed---2-Bath-A?siteId=6511284&fId=9218517,block_on_pearl,https://capi.myleasestar.com/v2/dimg/67760940/640x640/67760940.png
25th E - 2 Bed - 2 Bath E2,2,2,"$1,089 - $1,099",0,0,2,"1,056 - 1,060",https://www.theblockwestcampus.com//Brochure/25th-E---2-Bed---2-Bath-E2?siteId=6511284&fId=9218421,block_on_pearl,https://capi.myleasestar.com/v2/dimg/67759978/640x640/67759978.png
25th W - 2 Bed - 2 Bath A,2,2,"$1,094 - $1,154",0,0,9,888 - 910,https://www.theblockwestcampus.com//Brochure/25th-W---2-Bed---2-Bath-A?siteId=6511284&fId=9218451,block_on_pearl,https://capi.myleasestar.com/v2/dimg/67760311/640x640/67760311.png
25th W - 2 Bed - 2 Bath C,2,2,"$1,104 - $1,159",0,0,4,934,https://www.theblockwestcampus.com//Brochure/25th-W---2-Bed---2-Bath-C?siteId=6511284&fId=9218458,block_on_pearl,https://capi.myleasestar.com/v2/dimg/67760317/640x640/67760317.png
25th W - 4 Bed - 4 Bath A Loft,4,4,"$1,119 - $1,154",0,0,4,"1,488",https://www.theblockwestcampus.com//Brochure/25th-W---4-Bed---4-Bath-A-Loft?siteId=6511284&fId=9218468,block_on_pearl,https://capi.myleasestar.com/v2/dimg/67760450/640x640/67760450.png
Leon - 2 Bed - 2 Bath G Loft,2,2,"$1,199",0,0,2,"1,082 - 1,180",https://www.theblockwestcampus.com//Brochure/Leon---2-Bed---2-Bath-G-Loft?siteId=6511284&fId=9218493,block_on_pearl,https://capi.myleasestar.com/v2/dimg/67760722/640x640/67760722.png
23rd - Efficiency A,Studio,1,"$1,125",0,0,1,375,https://www.theblockwestcampus.com//Brochure/23rd---Efficiency-A?siteId=6511284&fId=9218399,block_on_pearl,https://capi.myleasestar.com/v2/dimg/67759606/640x640/67759606.png
Pearl N - Efficiency A,Studio,1,"$1,125",0,0,1,381,https://www.theblockwestcampus.com//Brochure/Pearl-N---Efficiency-A?siteId=6511284&fId=9218513,block_on_pearl,https://capi.myleasestar.com/v2/dimg/67760900/640x640/67760900.png
